year (AD),age (yr BP),MgCa (mmol/mol),age14C (yr BP14C)
1999.9710801,-49.9710801000001,3.7,-50
1860.9272451,89.0727549000001,3.4,100
1768.2313551,181.7686449,4.8,200
1582.8395751,367.1604249,5.4,400
1490.1436851,459.8563149,3.3,500
1397.4477951,552.5522049,3.7,600
1258.4039601,691.5960399,4.4,750
1119.3601251,830.6398749,4,900
980.3162901,969.6837099,3.6,1050
794.9245101,1155.0754899,3.3,1250
517.2686784,1432.7313216,3.7,1550
83.4622432000001,1866.5377568,3.3,1900
-224.7081568,2174.7081568,4.6,2150
-532.8785568,2482.8785568,4.1,2400
-841.0489568,2791.0489568,4.3,2650
-1272.4875168,3222.4875168,4.5,3000
-1888.8283168,3838.8283168,3.9,3500
-2012.0964768,3962.0964768,4.4,3600
-2258.6327968,4208.6327968,4.2,3800
-2922.7192,4872.7192,5.2,4300
-3190.3108,5140.3108,5.3,4500
-3324.1066,5274.1066,4.1,4600
-3591.6982,5541.6982,4.6,4800
-4046.704832,5996.704832,3.8,5200
-4251.826544,6201.826544,3.6,5400
-4662.069968,6612.069968,2.2,5800
-4867.19168,6817.19168,0.9,6000
-5328.715532,7278.715532,2.7,6450
-5379.99596,7329.99596,2.8,6500
-5585.117672,7535.117672,1.2,6700
-5687.678528,7637.678528,2.9,6800
-6090.4595,8040.4595,3.6,7200
-6310.23266,8260.23266,4,7400
-6530.00582,8480.00582,2.5,7600
-6639.8924,8589.8924,4.5,7700
-6749.77898,8699.77898,6.1,7800
-6913.968016,8863.968016,6.5,7950
-7106.249056,9056.249056,4.4,8100
-7170.342736,9120.342736,12.1,8150
-7490.811136,9440.811136,7.9,8400
-7618.998496,9568.998496,5.7,8500
-7747.185856,9697.185856,3.2,8600
-7939.466896,9889.466896,4.1,8750
-8131.747936,10081.747936,3.3,8900
-8324.028976,10274.028976,4.2,9050
-8708.591056,10658.591056,3.6,9350
-8772.684736,10722.684736,4.5,9400
-8836.778416,10786.778416,2.8,9450
-9093.153136,11043.153136,2.5,9650
-9285.434176,11235.434176,3.3,9800
-9669.996256,11619.996256,2.9,10100
-10182.745696,12132.745696,3.3,10500
-10567.307776,12517.307776,2.3,10800
