year (AD),age (yr BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
1900,50,1.541284404,1.059633028,2.02293578
1850,100,2.02293578,1.059633028,2.986238532
1800,150,2.504587156,1.059633028,3.949541284
1750,200,2.986238532,1.059633028,4.912844036
1700,250,3.467889908,1.059633028,5.876146789
1650,300,3.949541284,1.059633028,6.839449541
1600,350,4.43119266,1.059633028,7.802752293
1550,400,4.912844037,1.059633028,8.766055046
1500,450,5.408681617,1.059633028,9.757730207
1450,500,5.975450221,1.059633028,10.89126741
1400,550,6.613149847,1.059633028,12.16666667
1350,600,7.307594292,1.059633028,13.55555556
1300,650,8.002038736,1.059633028,14.94444444
1250,700,8.69648318,1.059633028,16.33333333
1200,750,9.390927625,1.059633028,17.72222222
1150,800,10.08537207,1.059633028,19.11111111
1100,850,10.8186053,1.059633028,20.57757758
1050,900,11.59062732,1.059633028,22.12162162
1000,950,13.84877883,1.059633028,26.63792464
950,1000,16.09736057,1.059633028,31.13508812
900,1050,18.33637254,1.059633028,35.61311205
850,1100,21.83961641,2.448685252,41.23054756
800,1150,25.43984112,2.448685252,48.43099699
750,1200,30.32915584,2.448685252,58.20962644
700,1250,32.31651507,1.059633028,63.5733971
650,1300,31.15238433,1.059633028,61.24513563
600,1350,25.5960171,1.059633028,50.13240117
550,1400,19.9910125,1.059633028,38.92239197
500,1450,17.21106651,1.059633028,33.3625
450,1500,17.30481651,1.059633028,33.55
400,1550,17.39856651,1.059633028,33.7375
350,1600,17.49231651,1.059633028,33.925
300,1650,17.58606651,1.059633028,34.1125
250,1700,17.67981651,1.059633028,34.3
200,1750,17.77356651,1.059633028,34.4875
150,1800,17.86731651,1.059633028,34.675
100,1850,19.89221866,2.678221931,37.10621538
50,1900,21.93027033,4.305739406,39.55480125
0,1950,29.26344776,9.215077545,49.31181797
-50,2000,34.74140583,12.5519393,56.93087236
-100,2050,44.36280698,17.61035209,71.11526186
-150,2100,48.80970858,19.46560696,78.1538102
-200,2150,46.23064212,17.93178418,74.52950005
-250,2200,39.56721659,14.70681314,64.42762005
-300,2250,35.8502847,13.19265604,58.50791336
-350,2300,46.62931875,18.6200831,74.6385544
-400,2350,57.47906827,24.1065072,90.85162934
-450,2400,74.87080831,31.52006776,118.2215489
-500,2450,84.91920034,35.47266908,134.3657316
-550,2500,95.02722601,39.46460177,150.5898502
-600,2550,95.728724,39.87758112,151.5798669
-650,2600,96.430222,40.29056047,152.5698835
-700,2650,97.13171999,40.70353982,153.5599002
-750,2700,97.83321799,41.11651917,154.5499168
-800,2750,98.53471598,41.52949852,155.5399334
-850,2800,99.23621398,41.94247787,156.5299501
-900,2850,99.93771197,42.35545723,157.5199667
-950,2900,100.63921,42.76843658,158.5099834
-1000,2950,101.2798719,43.18141593,159.3783278
-1050,3000,101.8596976,43.59439528,160.125
-1100,3050,102.3786873,44.00737463,160.75
-1150,3100,102.897677,44.42035398,161.375
-1200,3150,99.06173937,42.72920573,155.394273
-1250,3200,95.21000296,41.01839179,149.4016141
-1300,3250,91.34246775,39.28791218,143.3970233
-1350,3300,91.81406106,39.64189448,143.9862276
-1400,3350,88.3793361,37.81308644,138.9455858
-1450,3400,81.52125301,33.76215671,129.2803493
-1500,3450,71.73788815,27.46095114,116.0148252
-1550,3500,63.43154974,21.05175216,105.8113473
-1600,3550,55.20877107,12.24192809,98.17561405
-1650,3600,49.85104229,5.564385734,94.13769885
-1700,3650,45.06170461,1.059633028,89.0637762
-1750,3700,41.7769297,1.059633028,82.49422637
-1800,3750,36.89955634,1.059633028,72.73947966
