age (yr BP),clastic_flux (g/cm2/kyr),dbd (g/cm3),LOI (percent),BSI (percent),clastic (percent),d13C (permil),TOC (percent),d15N (permil),CN (ratio),TOC_flux (g/cm2/kyr),LOI_flux (g/cm2/kyr),BSI_flux (g/cm2/kyr)
69,0.0057675,0.7879,5.0972,2.2446,92.6582,-24.4387,1.7032,3.174,10.9701,1.06e-4,3.173e-4,1.397e-4
322,0.0057268,0.7928,6.2021,2.8254,90.9725,-24.2315,1.806,3.024,10.9015,1.137e-4,3.904e-4,1.779e-4
573,0.0058165,0.7918,5.6897,2.6403,91.67,-24.5205,1.4047,2.79,10.5595,8.91e-5,3.61e-4,1.675e-4
822,0.0047211,0.6424,6.7336,2.7914,90.475,-24.5069,2.0394,2.8665,10.7922,1.064e-4,3.514e-4,1.457e-4
1067,0.0045752,0.6251,8.0554,3.4416,88.5029,-24.4266,2.6528,3.0777,10.6596,1.371e-4,4.164e-4,1.779e-4
1307,0.0048879,0.6452,6.9653,3.4736,89.5612,-24.1872,2.3739,3.1533,10.7319,1.296e-4,3.801e-4,1.896e-4
1542,0.0049266,0.6388,7.8079,3.509,88.6831,-24.394,2.3264,3.1302,11.3069,1.292e-4,4.337e-4,1.949e-4
1771,0.0047027,0.598,8.5783,3.7761,87.6456,-24.6454,2.9608,3.1954,11.6293,1.589e-4,4.603e-4,2.026e-4
1992,0.0052765,0.6463,8.503,3.2754,88.2215,-24.7526,2.7948,3.0762,11.9415,1.672e-4,5.086e-4,1.959e-4
2206,0.0053121,0.624,7.5233,3.2177,89.259,-24.6772,2.724,3.053,11.975,1.621e-4,4.477e-4,1.915e-4
2414,0.0055403,0.6448,9.5163,3.0059,87.4777,-24.8229,2.6169,3.0251,12.1029,1.657e-4,6.027e-4,1.904e-4
2617,0.0063105,0.6992,7.3791,3.3158,89.3051,-24.8667,2.7073,3.0688,11.938,1.913e-4,5.214e-4,2.343e-4
2813,0.0060119,0.647,6.942,3.6044,89.4537,-24.5809,2.2584,3.2282,10.9599,1.518e-4,4.665e-4,2.422e-4
3004,0.0071413,0.733,5.9721,2.6724,91.3555,-24.6089,1.7505,3.1054,11.508,1.368e-4,4.668e-4,2.089e-4
3191,0.008141,0.8119,5.7006,2.6121,91.6873,-24.6121,1.7965,2.9128,11.3816,1.595e-4,5.062e-4,2.319e-4
3372,0.0081658,0.7917,5.3897,2.5142,92.0961,-24.6337,2.2578,2.9187,12.0437,2.002e-4,4.779e-4,2.229e-4
3550,0.0082514,0.7827,5.5208,2.4245,92.0547,-24.4465,1.9687,2.9931,11.1896,1.765e-4,4.949e-4,2.173e-4
3724,0.0081337,0.7584,6.1311,2.2143,91.6546,-24.5808,2.1064,2.9293,11.9249,1.869e-4,5.441e-4,1.965e-4
3894,0.0092125,0.8384,5.8915,2.2693,91.8392,-24.8195,2.2966,2.9255,12.4367,2.304e-4,5.91e-4,2.276e-4
4060,0.0089482,0.8009,6.5421,2.2219,91.236,-24.6021,2.3141,2.8955,12.6094,2.27e-4,6.416e-4,2.179e-4
4222,0.0098405,0.8501,5.613,2.1173,92.2697,-24.569,1.5422,3.1302,11.8027,1.645e-4,5.986e-4,2.258e-4
4381,0.0099064,0.8364,5.693,2.2426,92.0644,-24.4836,1.3869,2.7376,11.4231,1.492e-4,6.126e-4,2.413e-4
4535,0.0087458,0.7252,6.2248,2.4696,91.3056,-24.6102,2.3494,2.921,12.3289,2.25e-4,5.963e-4,2.366e-4
4686,0.0081634,0.6625,6.8745,2.3612,90.7643,-24.3791,2.0505,2.8431,11.5925,1.844e-4,6.183e-4,2.124e-4
4832,0.0101362,0.7929,5.9947,2.5126,91.4927,-24.3382,2.1082,2.7642,11.6986,2.336e-4,6.641e-4,2.784e-4
4974,0.0089347,0.6871,6.7538,2.937,90.3092,-24.6712,2.2672,2.5242,12.0656,2.243e-4,6.682e-4,2.906e-4
5112,0.00913,0.6877,7.9611,2.6774,89.3614,-24.6791,2.2424,2.6034,12.0176,2.291e-4,8.134e-4,2.736e-4
5245,0.0112446,0.8085,7.2064,2.0856,90.708,-24.8587,2.2851,2.6713,13.152,2.833e-4,8.933e-4,2.585e-4
5375,0.0103275,0.7275,7.8324,2.4067,89.7609,-24.8012,2.5462,2.7423,12.5615,2.93e-4,9.012e-4,2.769e-4
5500,0.0101458,0.6969,8.0802,2.6178,89.302,-24.7745,2.594,2.506,13.3454,2.947e-4,9.18e-4,2.974e-4
5622,0.0105485,0.7016,7.8267,2.6553,89.518,-24.5256,2.3765,2.4517,12.4938,2.8e-4,9.223e-4,3.129e-4
5740,0.0116833,0.7538,7.7157,2.6368,89.6476,-24.709,2.7704,2.4788,12.5229,3.611e-4,0.0010055,3.436e-4
