year (AD) [1-1],age (yr BP) [1-1],depth (cm) [1-1],LOI (%) [1-1],P. nitidum (no/cc) [1-1],V humeralis (no/cc) [1-1],d13C (permil) [1-1],d15N (permil) [1-1],C:N (ratio) [1-1],pinus/atremisia (ratio) [1-1],year (AD) [2-1],age (yr BP) [2-1],depth (cm) [2-1],lake_depth (m) [2-1],salinity (mg/L) [2-1],year (AD) [3-1],age (yr BP) [3-1],depth (unknown) [3-1],chacoal_influx (no/cm2/yr) [3-1]
1983,-33,0.5,45.39,0,0,NA,NA,NA,1.1216,1983,-33,0.5,5.13,76.658,1983,-33,0.5,0
1945,5,1.5,41.6,0,0,10.05,-28.4,3.36,NA,1945,5,1.5,6.03,87.3845,1945,5,1.5,0
1909,41,2.5,44.55,0,0,NA,NA,NA,NA,1909,41,2.5,6.82,83.0135,1909,41,2.5,0
1872,78,3.5,41.58,0,0,NA,NA,NA,NA,1872,78,3.5,7.88,83.0513,1872,78,3.5,0
1835,115,4.5,39.43,0,0,NA,NA,NA,NA,1835,115,4.5,8.4,77.3436,1835,115,4.5,0
1798,152,5.5,38.91,0,0.0113,NA,NA,NA,NA,1798,152,5.5,10.31,64.7379,1798,152,5.5,0
1759,191,6.5,40.61,0,0.0113,NA,NA,NA,NA,1759,191,6.5,9.13,72.9207,1759,191,6.5,0
1719,231,7.5,39.35,0,0,NA,NA,NA,NA,1719,231,7.5,9.57,62.2531,1719,231,7.5,0
1680,270,8.5,37.93,0,0,NA,NA,NA,NA,1680,270,8.5,7.78,74.4226,1680,270,8.5,0
1641,309,9.5,39.6,0,0,NA,NA,NA,NA,1641,309,9.5,6.75,89.9338,1641,309,9.5,0
1603,347,10.5,42.66,0,0,NA,NA,NA,1.5556,1603,347,10.5,7.69,81.7372,1603,347,10.5,0
1565,385,11.5,39.82,0,0,NA,NA,NA,NA,1565,385,11.5,5.72,87.3034,1565,385,11.5,0
1527,423,12.5,41.92,0,0,NA,NA,NA,NA,1527,423,12.5,8.24,84.9995,1527,423,12.5,0
1489,461,13.5,43.24,0,0,NA,NA,NA,NA,1489,461,13.5,3.95,91.3565,1489,461,13.5,0
1451,499,14.5,44.53,0,0,NA,NA,NA,NA,1451,499,14.5,6.18,86.4245,1451,499,14.5,0
1409,541,15.5,43.23,0,0,11.76,-28.91,1.66,NA,1409,541,15.5,4.83,102.879,1409,541,15.5,0.0143
1364,586,16.5,41.58,0,0,NA,NA,NA,NA,1364,586,16.5,3.69,98.7551,1364,586,16.5,0.0861
1318,632,17.5,43.66,0,0,NA,NA,NA,NA,1318,632,17.5,2.56,112.651,1318,632,17.5,0.0287
1273,677,18.5,42.52,0,0,NA,NA,NA,NA,1273,677,18.5,3.29,111.071,1273,677,18.5,0.0573
1228,722,19.5,44.27,0,0,NA,NA,NA,NA,1228,722,19.5,4.09,104.819,1228,722,19.5,0.0287
1185,765,20.5,46.19,0,0,NA,NA,NA,NA,1185,765,20.5,2.8,122.206,1185,765,20.5,0.1258
1142,808,21.5,46.4,0,0,NA,NA,NA,NA,1142,808,21.5,3.91,106.459,1142,808,21.5,0.0629
1100,850,22.5,47.09,0,0,NA,NA,NA,3.125,1100,850,22.5,3.71,111.664,1100,850,22.5,0.0625
1057,893,23.5,43.85,0,0,NA,NA,NA,NA,1057,893,23.5,3.74,96.3994,1057,893,23.5,0.3145
1015,935,24.5,42.36,0,0,NA,NA,NA,NA,1015,935,24.5,3.49,93.2321,1015,935,24.5,0.3774
976,974,25.5,41.76,0,0,NA,NA,NA,NA,976,974,25.5,5.22,98.1047,976,974,25.5,0.3165
949,1001,26.25,39.86,0,0,NA,NA,NA,NA,940,1010,26.5,3.72,95.9385,940,1010,26.5,0.1899
931,1019,26.75,NA,0,0.0768,NA,NA,NA,NA,904,1046,27.5,3.35,102.792,904,1046,27.5,0.1266
913,1037,27.25,39.47,0,0.0256,NA,NA,NA,NA,868,1082,28.5,3.75,103.031,868,1082,28.5,0.0629
895,1055,27.75,NA,0,0.1408,NA,NA,NA,NA,833,1117,29.5,4.82,99.5946,833,1117,29.5,0
877,1073,28.25,39.64,0,0.064,NA,NA,NA,NA,803,1147,30.5,6.02,101.54,803,1147,30.5,0.0373
860,1090,28.75,NA,0,0.0256,NA,NA,NA,NA,777,1173,31.5,5.93,96.4132,777,1173,31.5,0.056
842,1108,29.25,39.64,0,0.1408,12.95,-27.09,2.39,NA,751,1199,32.5,5.72,94.0299,751,1199,32.5,0.056
826,1124,29.75,NA,0,0.128,NA,NA,NA,NA,725,1225,33.5,5.21,94.7975,725,1225,33.5,0.0373
809,1141,30.25,36.6,0,0.256,NA,NA,NA,NA,699,1251,34.5,8.27,91.5677,699,1251,34.5,0.0746
796,1154,30.75,NA,0,0.256,NA,NA,NA,NA,672,1278,35.5,6.51,87.597,672,1278,35.5,0
783,1167,31.25,36.38,0,0.1024,NA,NA,NA,NA,645,1305,36.5,10.64,90.5029,645,1305,36.5,0.0971
770,1180,31.75,NA,0,0.192,NA,NA,NA,NA,617,1333,37.5,9.86,87.9582,617,1333,37.5,0.1217
757,1193,32.25,39.14,0,0.0768,NA,NA,NA,NA,590,1360,38.5,8.77,97.1906,590,1360,38.5,0.0971
744,1206,32.75,NA,0,0.0512,NA,NA,NA,NA,563,1387,39.5,4.97,92.6377,563,1387,39.5,0.0485
731,1219,33.25,36.55,0,0,NA,NA,NA,NA,536,1414,40.5,4.63,85.0994,536,1414,40.5,0.0714
718,1232,33.75,NA,0,0.0256,NA,NA,NA,NA,511,1439,41.5,4.83,95.4962,511,1439,41.5,0.0719
705,1245,34.25,35.54,0,0.0256,NA,NA,NA,NA,486,1464,42.5,4.07,102.443,486,1464,42.5,0
692,1258,34.75,NA,0,0,NA,NA,NA,NA,460,1490,43.5,4.71,100.879,460,1490,43.5,0
679,1271,35.25,33.81,0,0,NA,NA,NA,NA,435,1515,44.5,4.55,106.07,435,1515,44.5,0.2158
666,1284,35.75,NA,0,0,NA,NA,NA,NA,410,1540,45.5,3.99,102.87,410,1540,45.5,0
652,1298,36.25,30.04,0,0,NA,NA,NA,NA,384,1566,46.5,4.01,94.2447,384,1566,46.5,0.2058
638,1312,36.75,NA,0,0.128,NA,NA,NA,NA,357,1593,47.5,4.63,100.514,357,1593,47.5,0
624,1326,37.25,28.79,0,0.6016,NA,NA,NA,NA,331,1619,48.5,3.89,98.6022,331,1619,48.5,0.3719
611,1339,37.75,NA,0,1.088,NA,NA,NA,3.5263,304,1646,49.5,3.9,94.1831,304,1646,49.5,0.5372
597,1353,38.25,30.69,0,0.512,NA,NA,NA,NA,270,1680,50.5,4.22,93.9185,270,1680,50.5,0.3361
584,1366,38.75,NA,0,0,NA,NA,NA,NA,229,1721,51.5,3.95,97.4919,229,1721,51.5,0.5833
570,1380,39.25,34.75,0,0,NA,NA,NA,NA,187,1763,52.5,5.1,78.3265,187,1763,52.5,0.3361
556,1394,39.75,NA,0,0,NA,NA,NA,NA,146,1804,53.5,6.68,86.501,146,1804,53.5,0.3361
543,1407,40.25,38.61,0,0.0768,NA,NA,NA,NA,105,1845,54.5,7.35,95.0444,105,1845,54.5,0.1667
530,1420,40.75,NA,0,0,NA,NA,NA,NA,64,1886,55.5,8.09,106.267,64,1886,55.5,0.0607
518,1432,41.25,40.03,0,0,NA,NA,NA,NA,23,1927,56.5,8.29,107.071,23,1927,56.5,0.1212
505,1445,41.75,NA,0,0.0768,NA,NA,NA,NA,-19,1969,57.5,7.82,117.962,-19,1969,57.5,0.0405
492,1458,42.25,36.14,0,0,NA,NA,NA,NA,-61,2011,58.5,8.69,97.7652,-61,2011,58.5,0
480,1470,42.75,NA,0,0.0256,NA,NA,NA,NA,-102,2052,59.5,11.94,95.082,-102,2052,59.5,0.0202
467,1483,43.25,39.64,0,0,NA,NA,NA,NA,-134,2084,60.25,7.96,103.949,-147,2097,60.5,0.0253
454,1496,43.75,NA,0,0,14.36,-30.12,1.87,NA,-184,2134,61.25,7.1,105.711,-196,2146,61.5,0.0127
442,1508,44.25,37.23,0,0,NA,NA,NA,NA,-233,2183,62.25,6,110.358,-246,2196,62.5,0.0253
429,1521,44.75,NA,0,0,NA,NA,NA,NA,-283,2233,63.25,5.42,111.137,-295,2245,63.5,0.0508
416,1534,45.25,35.3,0,0.0256,NA,NA,NA,NA,-332,2282,64.25,9.84,101.961,-345,2295,64.5,0.0253
403,1547,45.75,NA,0,0.0512,NA,NA,NA,NA,-379,2329,65.25,8.23,85.2773,-389,2339,65.5,0.078
390,1560,46.25,37.02,0,0.0512,NA,NA,NA,NA,-419,2369,66.25,6.92,91.3629,-429,2379,66.5,0.0584
377,1573,46.75,NA,0,0,NA,NA,NA,NA,-459,2409,67.25,5.94,96.6615,-470,2420,67.5,0.1754
364,1586,47.25,38.34,0,0.0256,NA,NA,NA,NA,-500,2450,68.25,6.83,92.8876,-510,2460,68.5,0.1559
351,1599,47.75,NA,0,0,NA,NA,NA,NA,-540,2490,69.25,6.39,104.105,-551,2501,69.5,0.0195
337,1613,48.25,38.12,0,0.0768,NA,NA,NA,NA,-583,2533,70.25,6.2,102.466,-596,2546,70.5,0.0889
324,1626,48.75,NA,0,0,NA,NA,NA,NA,-632,2582,71.25,4.6,91.147,-645,2595,71.5,0.0444
311,1639,49.25,38.37,0,0,NA,NA,NA,NA,-681,2631,72.25,4.77,81.4179,-693,2643,72.5,0.3556
296,1654,49.75,NA,0,0.0512,NA,NA,NA,NA,-730,2680,73.25,3.34,86.1325,-742,2692,73.5,0.0889
281,1669,50.25,38.37,0,0,NA,NA,NA,NA,-779,2729,74.25,2.49,91.5372,-792,2742,74.5,0.1333
260,1690,50.75,NA,0,0.0768,NA,NA,NA,NA,-820,2770,75.25,3.44,87.9517,-824,2774,75.5,0
239,1711,51.25,37.42,0,0.128,NA,NA,NA,NA,-836,2786,76.25,2.59,88.4823,-840,2790,76.5,0
219,1731,51.75,NA,0,0,NA,NA,NA,NA,-851,2801,77.25,3.2,97.7937,-855,2805,77.5,0
198,1752,52.25,37.63,0,0,NA,NA,NA,NA,-867,2817,78.25,3.81,94.1088,-871,2821,78.5,0.2041
177,1773,52.75,NA,0,0.0768,NA,NA,NA,NA,-883,2833,79.25,2.63,86.2499,-887,2837,79.5,0
157,1793,53.25,37.02,0,0.0768,NA,NA,NA,NA,-897,2847,80.25,4.46,98.8088,-900,2850,80.5,0
136,1814,53.75,NA,0,0.0768,NA,NA,NA,NA,-909,2859,81.25,2.76,120.244,-912,2862,81.5,0
116,1834,54.25,37.07,0,0,NA,NA,NA,NA,-920,2870,82.25,2.72,124.42,-923,2873,82.5,0
95,1855,54.75,NA,0,0.2048,NA,NA,NA,NA,-931,2881,83.25,5.06,110.187,-934,2884,83.5,0
75,1875,55.25,39.05,0,0,NA,NA,NA,NA,-943,2893,84.25,9.08,105.255,-946,2896,84.5,0
54,1896,55.75,NA,0,0.0768,NA,NA,NA,3.5,-954,2904,85.25,9.58,94.9671,-957,2907,85.5,0
33,1917,56.25,39.66,0,0,NA,NA,NA,NA,-966,2916,86.25,11,88.6821,-969,2919,86.5,0
12,1938,56.75,NA,0,0.2048,NA,NA,NA,NA,-978,2928,87.25,10.12,102.993,-981,2931,87.5,0
-9,1959,57.25,40.21,0,0.0512,NA,NA,NA,NA,-989,2939,88.25,9.69,102.936,-992,2942,88.5,0
-29,1979,57.75,NA,0,0.1152,14.19,-31.09,2.72,NA,-1001,2951,89.25,12.06,94.8732,-1004,2954,89.5,0
-50,2000,58.25,40.9,0,0,NA,NA,NA,NA,-1013,2963,90.25,9.95,108.035,-1016,2966,90.5,0
-71,2021,58.75,NA,0,0.0768,NA,NA,NA,NA,-1024,2974,91.25,9.82,109.08,-1027,2977,91.5,0
-91,2041,59.25,41.74,0,0,NA,NA,NA,NA,-1035,2985,92.25,6.59,105.086,-1038,2988,92.5,0
-113,2063,59.75,NA,0,0,NA,NA,NA,NA,-1046,2996,93.25,4.25,102.5,-1049,2999,93.5,0
-134,2084,60.25,41.08,0,0,NA,NA,NA,NA,-1057,3007,94.25,3.22,119.092,-1060,3010,94.5,0
-159,2109,60.75,NA,0,0.1408,NA,NA,NA,NA,-1069,3019,95.25,3.49,119.488,-1072,3022,95.5,0
-184,2134,61.25,38.46,0,0.2048,NA,NA,NA,NA,-1083,3033,96.25,3.74,108.813,-1086,3036,96.5,0
-208,2158,61.75,NA,0,0.1408,NA,NA,NA,NA,-1097,3047,97.25,5.16,108.774,-1100,3050,97.5,0
-233,2183,62.25,42.47,0,0.0768,NA,NA,NA,NA,-1111,3061,98.25,4,109.924,-1114,3064,98.5,0
-258,2208,62.75,NA,0,0.0768,NA,NA,NA,NA,-1124,3074,99.25,4.27,101.768,-1128,3078,99.5,0
-283,2233,63.25,39.27,0,0,NA,NA,NA,NA,-1140,3090,100.25,3.52,109.773,-1145,3095,100.5,0
-307,2257,63.75,NA,0,0.2688,NA,NA,NA,NA,-1162,3112,101.25,4.98,101.538,-1167,3117,101.5,0
-332,2282,64.25,34.93,0,0,NA,NA,NA,NA,-1183,3133,102.25,5.64,98.3566,-1189,3139,102.5,0
-356,2306,64.75,NA,0,0.064,NA,NA,NA,NA,-1205,3155,103.25,4.31,88.8472,-1210,3160,103.5,0
-379,2329,65.25,31.63,0,0.064,NA,NA,NA,NA,-1226,3176,104.25,5.58,89.6824,-1232,3182,104.5,0.0216
-399,2349,65.75,NA,0,0.064,NA,NA,NA,NA,-1247,3197,105.25,7.1,88.2588,-1253,3203,105.5,0
-419,2369,66.25,27.57,0,0.0256,NA,NA,NA,NA,-1269,3219,106.25,4.94,117.852,-1274,3224,106.5,0
-439,2389,66.75,NA,0,0.0512,NA,NA,NA,NA,-1291,3241,107.25,3.82,134.446,-1296,3246,107.5,0.0901
-459,2409,67.25,25.06,0,0.0512,NA,NA,NA,NA,-1312,3262,108.25,4.78,128.325,-1318,3268,108.5,0.1351
-480,2430,67.75,NA,0,0,NA,NA,NA,NA,-1334,3284,109.25,4.39,127.752,-1339,3289,109.5,0.2252
-500,2450,68.25,28.6,0,0,NA,NA,NA,NA,-1355,3305,110.25,3.36,121.515,-1360,3310,110.5,0.9396
-520,2470,68.75,NA,0,0,NA,NA,NA,NA,-1375,3325,111.25,4.17,115.643,-1380,3330,111.5,0.3333
-540,2490,69.25,28.86,0,0,NA,NA,NA,NA,-1395,3345,112.25,3.68,110.825,-1400,3350,112.5,0.8054
-562,2512,69.75,NA,0,0,NA,NA,NA,NA,-1415,3365,113.25,3.35,120.726,-1420,3370,113.5,0.7333
-583,2533,70.25,25.17,0,0,NA,NA,NA,NA,-1435,3385,114.25,2.17,145.168,-1440,3390,114.5,0.4698
-608,2558,70.75,NA,0,0,NA,NA,NA,NA,-1455,3405,115.25,3.35,126.54,-1461,3411,115.5,0.963
-632,2582,71.25,25.3,0,0,NA,NA,NA,NA,-1476,3426,116.25,3.47,144.023,-1481,3431,116.5,1.7164
-657,2607,71.75,NA,0,0,13.85,-25.95,1.19,NA,-1496,3446,117.25,3.9,136.177,-1502,3452,117.5,0.3731
-681,2631,72.25,35.09,0,0,NA,NA,NA,NA,-1517,3467,118.25,2.61,129.29,-1522,3472,118.5,0.5224
-705,2655,72.75,NA,0,0.0512,NA,NA,NA,NA,-1537,3487,119.25,2.85,126.322,-1542,3492,119.5,0
-730,2680,73.25,36.97,0,0,NA,NA,NA,NA,-1557,3507,120.25,3.43,123.444,-1563,3513,120.5,0
-754,2704,73.75,NA,0,0.0512,NA,NA,NA,NA,-1578,3528,121.25,3.27,126.826,-1584,3534,121.5,0
