year (AD),age (yr BP),BSi (percent)
1873.46,76.54,13.68
1786.78,163.22,12.89
1700.1,249.9,12.19
1613.42,336.58,10.88
1526.74,423.26,10.96
1440.06,509.94,10.99
1353.38,596.62,10.63
1266.7,683.3,10.68
1180.02,769.98,10.74
1093.34,856.66,12.81
1006.66,943.34,11.69
919.98,1030.02,10.64
833.3,1116.7,10.74
746.62,1203.38,11.07
659.94,1290.06,11.16
573.26,1376.74,10.35
486.58,1463.42,11.75
399.9,1550.1,12.2
313.22,1636.78,11.09
226.54,1723.46,10.19
139.86,1810.14,11.13
53.1800000000001,1896.82,11.89
-33.5,1983.5,11.46
-120.18,2070.18,12.9
-206.86,2156.86,11.13
-293.54,2243.54,11.09
-380.22,2330.22,10.84
-466.9,2416.9,10.33
-553.58,2503.58,10.7
-640.26,2590.26,10.42
-726.94,2676.94,10.58
-813.62,2763.62,11.28
-900.3,2850.3,11.8
-986.98,2936.98,11.4
-1073.66,3023.66,11.87
-1160.34,3110.34,11.28
-1247.02,3197.02,11.31
-1333.7,3283.7,11.56
-1420.38,3370.38,11.85
-1507.06,3457.06,10.6
-1593.74,3543.74,10.82
-1680.42,3630.42,10.33
-1767.1,3717.1,11.2
-1853.78,3803.78,11.01
-1940.46,3890.46,11.62
-2027.14,3977.14,11.95
-2113.82,4063.82,11.85
-2200.5,4150.5,11.28
-2287.18,4237.18,12.34
-2373.86,4323.86,11.55
-2460.54,4410.54,10.89
-2547.22,4497.22,11.75
-2633.9,4583.9,12.16
-2720.58,4670.58,10.54
-2807.26,4757.26,11.17
-2893.94,4843.94,10.62
-2980.62,4930.62,11.99
-3067.3,5017.3,11.55
-3153.98,5103.98,10.17
-3240.66,5190.66,11.06
-3327.34,5277.34,12.09
-3414.02,5364.02,11.87
-3500.7,5450.7,11.52
-3587.38,5537.38,12.13
-3674.06,5624.06,12.76
-3760.74,5710.74,13.58
-3847.42,5797.42,12.92
-3934.1,5884.1,13.51
-4020.78,5970.78,14.28
-4107.46,6057.46,13.67
-4194.14,6144.14,13.01
-4280.82,6230.82,11.43
-4367.5,6317.5,13.3
-4454.18,6404.18,11.89
-4540.86,6490.86,12.58
-4627.54,6577.54,13.85
-4714.22,6664.22,13.24
-4800.9,6750.9,13.3
-4887.58,6837.58,14.36
-4974.26,6924.26,13.36
-5060.94,7010.94,14.46
-5147.62,7097.62,14.7
-5234.3,7184.3,13.6
-5320.98,7270.98,14.64
-5407.66,7357.66,16.02
-5494.34,7444.34,16.99
-5581.02,7531.02,17.95
-5667.7,7617.7,17.22
-5754.38,7704.38,16.99
-5841.06,7791.06,17.38
-5927.74,7877.74,17.65
-6014.42,7964.42,17.26
-6101.1,8051.1,16.44
-6187.78,8137.78,16.92
-6274.46,8224.46,16.91
-6361.14,8311.14,16.7
-6447.82,8397.82,16.56
-6534.5,8484.5,16.64
-6621.18,8571.18,17.03
-6707.86,8657.86,16.07
-6794.54,8744.54,14.92
-6881.22,8831.22,16.05
-6967.9,8917.9,15.75
-7054.58,9004.58,15.62
-7141.26,9091.26,16.4
-7227.94,9177.94,16.11
-7314.62,9264.62,16.11
-7401.3,9351.3,16.64
-7487.98,9437.98,15.04
-7574.66,9524.66,15.3
-7661.34,9611.34,16.11
-7748.02,9698.02,15.58
-7834.7,9784.7,15.51
-7921.38,9871.38,15.24
-8008.06,9958.06,14.89
-8094.7,10044.7,15.76
-8181.4,10131.4,14.29
-8268.1,10218.1,14.85
-8354.8,10304.8,15.2
-8441.5,10391.5,15.54
-8528.1,10478.1,14.35
-8614.8,10564.8,14.95
-8701.5,10651.5,14.19
-8788.2,10738.2,14.11
-8874.9,10824.9,14.4
-8961.5,10911.5,13.88
-9048.2,10998.2,10.17
-9134.9,11084.9,9.55
-9221.6,11171.6,9.36
-9308.3,11258.3,10.18
-9394.9,11344.9,10.03
-9481.6,11431.6,8.17
-9568.3,11518.3,5.22
-9655,11605,4.9
-9741.7,11691.7,4.53
-9828.3,11778.3,4.05
-9915,11865,4.5
-10001.7,11951.7,3.94
-10088.4,12038.4,4.35
-10175.1,12125.1,4.95
-10261.7,12211.7,4.07
-10348.4,12298.4,5.26
