year (AD),age (yr BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
1900,50,10.9045454545455,0,21.8090909090909
1850,100,11.2075757575758,0,22.4151515151515
1800,150,11.5106060606061,0,23.0212121212121
1750,200,11.8136363636364,0,23.6272727272727
1700,250,12.1166666666667,0,24.2333333333333
1650,300,12.419696969697,0,24.8393939393939
1600,350,12.7227272727273,0,25.4454545454545
1550,400,13.0257575757576,0,26.0515151515152
1500,450,13.3287878787879,0,26.6575757575758
1450,500,13.6318181818182,0,27.2636363636364
1400,550,13.9348484848485,0,27.869696969697
1350,600,14.9883778614548,0,29.9767557229096
1300,650,16.1463540732771,0,32.2927081465543
1250,700,17.4087771203156,0,34.8175542406312
1200,750,18.0251479289941,0,36.0502958579882
1150,800,18.6415187376726,0,37.2830374753452
1100,850,22.7775971247635,1.65618836291913,43.8990058866079
1050,900,26.9823997925251,3.36374095989481,50.6010586251554
1000,950,32.1818259822005,5.12265779092702,59.240994173474
950,1000,33.0043696331121,5.27675049309665,60.7319887731276
900,1050,43.6969653581683,16.5810087772658,70.8129219390707
850,1100,48.2093184904208,23.3309591503916,73.0876778304501
800,1150,46.8266943465825,23.4361675727129,70.2172211204521
750,1200,33.4704936056392,10.424356691568,56.5166305197105
700,1250,25.1875342818015,1.91548948741001,48.459579076193
650,1300,23.5443495403479,0,47.0886990806959
600,1350,23.8235873863602,0,47.6471747727205
550,1400,24.1028252313329,0,48.2056504626658
500,1450,24.3820630755399,0,48.7641261510798
450,1500,24.6613009197469,0,49.3226018394938
400,1550,24.9405387639539,0,49.8810775279078
350,1600,25.219776609088,0,50.4395532181761
300,1650,25.4990144551566,0,50.9980289103132
250,1700,25.7782523012252,0,51.5565046024504
200,1750,26.0574901463666,0,52.1149802927333
150,1800,26.3367279905736,0,52.6734559811473
100,1850,26.6223538805451,0,53.2447077610901
50,1900,26.9202644739096,0,53.8405289478191
0,1950,27.2304597706672,0,54.4609195413344
-50,2000,27.5465517250535,0,55.093103450107
-100,2050,32.2808433386866,2.34822796948551,62.2134587078878
-150,2100,42.1859027516827,10.6592193493808,73.7125861539845
-200,2150,53.9101896087199,21.4633141778553,86.3570650395845
-250,2200,60.2075133130064,30.0377155197392,90.3773111062735
-300,2250,69.0730033774649,34.9732714152009,103.172735339729
