year (AD),age (yr BP),Temp (degC),dD (permil)
1847,103,4.869694463,-111.5852396
1634,316,5.059756955,-124.5095473
1421,529,5.280072168,-116.10041
1208,742,6.756225455,-118.2956515
1016,934,7.229167536,NA
804,1146,5.006835808,-115.6403696
591,1359,2.434329183,-124.94278920000001
378,1572,4.155894782,NA
165,1785,5.056729448,NA
-48,1998,5.391244175,-116.9752685
-261,2211,3.965230228,-125.0561244
-474,2424,3.002601507,-113.5137992
-687,2637,3.26923125,-116.1450742
-857,2807,3.198735426,NA
-1198,3148,3.132675674,-122.449973
-1411,3361,3.23794643,-148.6639035
-1624,3574,7.785526284,-120.0367392
-2277,4227,5.819104514,-116.6147077
-2834,4784,7.187396568,-112.5180967
-3390,5340,5.539377708,-98.71956391
-3947,5897,4.410308498,-99.41032872
-4503,6453,4.792899568,-83.51580167
-5115,7065,5.00356938,-98.41551179
-5783,7733,4.141410326,-93.94317096
-6339,8289,4.809256259,NA
-6877,8827,6.397687085,-128.9977331
-6991,8941,8.230051108,-128.8375005
-7106,9056,3.600307862,-117.4185599
-7227,9177,6.095529385,-138.124846
-7341,9291,4.7227257,-119.0041362
-7637,9587,5.866589848,NA
-8169,10119,5.075016994,-119.9605066
-8501,10451,2.754071313,-125.5357054
-8667,10617,4.09692133,-137.4621421
-8833,10783,5.000820021,-131.3319916
-9166,11116,4.427883996,-146.5931632
