year (AD),age (yr BP),depth (cm),d13C (permil),d18O (permil)
1715.72,234.28,0.003,-3.445,-8.747
1713.44,236.56,0.006,-3.44,-8.619
1711.16,238.84,0.009,-3.42,-8.686
1708.88,241.12,0.012,-3.434,-8.618
1706.6,243.4,0.015,-3.438,-8.695
1704.32,245.68,0.018,-3.43,-8.635
1702.04,247.96,0.021,-3.468,-8.766
1699.76,250.24,0.024,-3.414,-8.569
1697.48,252.52,0.027,-3.457,-8.701
1695.2,254.8,0.03,-3.348,-8.584
1692.92,257.08,0.033,-3.464,-8.811
1690.64,259.36,0.036,-3.48,-8.631
1688.36,261.64,0.039,-3.402,-8.728
1683.8,266.2,0.045,-3.477,-8.691
1681.52,268.48,0.048,-3.603,-8.772
1679.24,270.76,0.051,-3.75,-8.725
1676.96,273.04,0.054,-3.76,-8.864
1674.68,275.32,0.057,-3.545,-8.781
1672.4,277.6,0.06,-3.819,-8.969
1670.12,279.88,0.063,-3.686,-8.778
1667.84,282.16,0.066,-3.77,-8.924
1665.56,284.44,0.069,-3.626,-8.78
1663.28,286.72,0.072,-3.588,-8.897
1661,289,0.075,-3.519,-8.854
1658.72,291.28,0.078,-3.363,-8.94
1656.44,293.56,0.081,-3.203,-8.871
1654.16,295.84,0.084,-3.29,-9.061
1651.88,298.12,0.087,-3.346,-8.982
1647.32,302.68,0.093,-3.226,-9.078
1645.04,304.96,0.096,-3.223,-8.963
1642.76,307.24,0.099,-3.218,-8.994
1640.48,309.52,0.102,-3.203,-8.921
1638.2,311.8,0.105,-3.245,-8.915
1635.92,314.08,0.108,-3.34,-8.761
1633.64,316.36,0.111,-3.404,-8.958
1631.36,318.64,0.114,-3.437,-8.742
1629.08,320.92,0.117,-3.471,-8.814
1626.8,323.2,0.12,-3.594,-8.837
1624.52,325.48,0.123,-3.669,-8.82
1622.24,327.76,0.126,-3.788,-8.673
1619.96,330.04,0.129,-3.789,-8.844
1617.68,332.32,0.132,-3.777,-8.757
1615.4,334.6,0.135,-3.923,-8.807
