age (yr BP),SST (degC)
614.285,21.7153
701.331,21.6756
744.71,22.1135
831.852,21.7686
881.319,22.6178
962.42,21.7157
1018.04,22.7771
1080.17,22.8833
1173.57,22.419
1247.99,22.9763
1349.48,16.5552
1466.45,20.1904
1528.36,20.9998
1602.76,21.6499
1696.12,21.2918
1764.09,22.6053
1820.23,22.0084
1894.87,21.889
1925.72,22.632
1975.56,22.3004
2019.01,22.5127
2056.25,22.6852
2136.88,23.2956
2180.8,21.9954
2193.08,22.4863
2230.44,22.3006
2267.67,22.5395
2298.81,22.3405
2348.56,22.2875
2379.4,23.0835
2447.77,23.1101
2478.81,23.2694
2540.87,23.5878
2590.66,23.4021
2628.03,23.2032
2665.39,23.0175
2708.73,23.5747
2764.68,23.5748
2826.91,23.3758
2889.04,23.4953
2945.23,22.7126
3038.61,22.3014
3069.35,23.3893
3100.65,22.6995
3162.86,22.5801
3262.25,22.8323
3318.08,23.2038
3386.41,23.3631
3430.13,22.713
3479.7,23.257
3517.36,22.1161
3579.56,21.9835
3629.29,21.9968
3666.31,22.9123
3722.35,22.6072
3747.01,23.2838
3858.87,23.3901
3902.63,22.6206
3952.4,22.5145
4008.07,23.4167
4026.87,22.9259
4120.1,23.0056
4157.46,22.8066
4188.73,22.1963
4225.98,22.3689
4257.11,22.2362
4319.36,21.9444
4343.9,22.9925
4412.16,23.3773
4455.61,23.5896
4499.18,23.4172
4555.2,23.2183
4586.2,23.4836
4666.93,23.7623
4698.04,23.6827
4760.38,23.1256
4798.05,21.9316
4909.78,22.4756
4978.39,21.7593
5021.78,22.1706
5077.27,23.63
5120.89,23.3117
5164.48,23.0729
5183.05,23.3117
5239.13,22.9138
5301.21,23.1924
5313.54,23.5108
5369.52,23.418
5443.82,24.3866
5506.35,23.2192
5549.93,23.0335
5624.58,22.8743
5655.33,23.9224
5755.04,23.1663
5792.24,23.4582
5835.69,23.6838
5878.93,24.5595
5947.46,24.0952
6003.57,23.6044
6053.49,22.9941
6103.1,23.4055
6221.22,23.379
6332.99,23.7904
6389.04,23.4853
6482.16,23.8967
6619.15,23.1937
6718.47,23.6714
6824.23,23.4194
6961.1,23.0879
7085.46,23.0084
7197.48,22.6105
7309.45,22.4116
7433.75,22.5178
7545.8,22.0271
7676.32,22.1333
7806.72,22.6111
7925.19,21.4967
8055.25,23.0624
8185.91,22.7175
8310.33,22.4258
8453.42,22.1075
8565.53,21.4177
8702.11,22.0149
8825.82,24.0051
8968.33,25.5044
9086.88,24.1247
9230.31,22.7053
9355.02,21.5379
9491.34,22.9311
9628.36,22.1352
9752.49,22.7854
9914,23.1835
10032.4,22.3876
10331,21.8042
10461.4,22.1094
10610.7,21.9106
10747.1,23.0118
10884.2,21.8047
11032.6,24.4052
11176.5,21.4202
11319.7,21.0223
11455.5,24.0075
11605.2,22.4952
11754.5,22.1372
11897.7,21.2882
12059.1,22.1905
12196,21.5937
12370.1,21.7132
12475.6,22.2175
12680.7,22.284
12804.8,23.1067
12966.8,22.0057
13116.3,21.0904
13265,22.5366
13433.3,21.1172
13569.7,22.2185
13750,22.1125
13905.5,21.9137
13980.2,21.6086
